"NOM_RBD","RBD","REGION_RBD","MATRICULADOS","PTJE_PROM","POSTULANTES","EGRESADOS_2024","PCNTJE_EGRESADOS_2024","POSTULANTES_UAI","PCNTJE_POSTULANTES_UAI","TOTAL_MUJERES_POST","PCNTJE_MUJERES_POST","POST_MUJERES_UAI","PCNTJE_POST_MUJERES_UAI","MATRICULADOS_UAI","PCNTJE_MATRICULADOS_UAI","TOTAL_MUJERES_MATRI","PCNTJE_MUJERES_MATRI","MATRI_MUJERES_UAI","PCNTJE_MATRI_MUJERES_UAI","Grupo.1..1.3.","Grupo.2..4.6.","Grupo.3..7.9.","Grupo.4..No.responde.","Otro","POST_COMPETENCIA1","PCNTJE_POST_COMPETENCIA1","POST_COMPETENCIA2","PCNTJE_POST_COMPETENCIA2","MATRI_COMPETENCIA1","PCNTJE_MATRI_COMPETENCIA1","MATRI_COMPETENCIA2","PCNTJE_MATRI_COMPETENCIA2","POST_UAI_FILTRADO","PCNTJE_POST_UAI_FILTRADO","POST_COMERCIAL","PCNTJE_COMERCIAL_POST","POST_COMERCIAL_UAI","PCNTJE_COMERCIAL_UAI_POST","POST_COMERCIAL_COMPT1","PCNTJE_COMERCIAL_COMPT1_POST","POST_COMERCIAL_COMPT2","PCNTJE_COMERCIAL_COMPT2_POST","POST_ING_CIVIL","PCNTJE_ING_CIVIL_POST","POST_ING_CIVIL_UAI","PCNTJE_ING_CIVIL_UAI_POST","POST_ING_CIVIL_COMPT1","PCNTJE_ING_CIVIL_COMPT1_POST","POST_ING_CIVIL_COMPT2","PCNTJE_ING_CIVIL_COMPT2_POST","POST_DERECHO","PCNTJE_DERECHO_POST","POST_DERECHO_UAI","PCNTJE_DERECHO_UAI_POST","POST_DERECHO_COMPT1","PCNTJE_DERECHO_COMPT1_POST","POST_DERECHO_COMPT2","PCNTJE_DERECHO_COMPT2_POST","POST_PSICOLOGIA","PCNTJE_PSICOLOGIA_POST","POST_PSICOLOGIA_UAI","PCNTJE_PSICOLOGIA_UAI_POST","POST_PSICOLOGIA_COMPT1","PCNTJE_PSICOLOGIA_COMPT1_POST","POST_PSICOLOGIA_COMPT2","PCNTJE_PSICOLOGIA_COMPT2_POST","POST_PERIODISMO","PCNTJE_PERIODISMO_POST","POST_PERIODISMO_UAI","PCNTJE_PERIODISMO_UAI_POST","POST_PERIODISMO_COMPT1","PCNTJE_PERIODISMO_COMPT1_POST","POST_PERIODISMO_COMPT2","PCNTJE_PERIODISMO_COMPT2_POST","POST_COMPT1_FILTRADO","PCNTJE_COMPT1_POST_FILTRADO","POST_COMPT2_FILTRADO","PCNTJE_COMPT2_POST_FILTRADO","MATRI_UAI_FILTRADO","PCNTJE_MATRI_UAI_FILTRADO","MATRI_COMERCIAL","PCNTJE_COMERCIAL_MATRI","MATRI_COMERCIAL_UAI","PCNTJE_COMERCIAL_UAI_MATRI","MATRI_COMERCIAL_COMPT1","PCNTJE_COMERCIAL_COMPT1_MATRI","MATRI_COMERCIAL_COMPT2","PCNTJE_COMERCIAL_COMPT2_MATRI","MATRI_ING_CIVIL","PCNTJE_ING_CIVIL_MATRI","MATRI_ING_CIVIL_UAI","PCNTJE_ING_CIVIL_UAI_MATRI","MATRI_ING_CIVIL_COMPT1","PCNTJE_ING_CIVIL_COMPT1_MATRI","MATRI_ING_CIVIL_COMPT2","PCNTJE_ING_CIVIL_COMPT2_MATRI","MATRI_DERECHO","PCNTJE_DERECHO_MATRI","MATRI_DERECHO_UAI","PCNTJE_DERECHO_UAI_MATRI","MATRI_DERECHO_COMPT1","PCNTJE_DERECHO_COMPT1_MATRI","MATRI_DERECHO_COMPT2","PCNTJE_DERECHO_COMPT2_MATRI","MATRI_PSICOLOGIA","PCNTJE_PSICOLOGIA_MATRI","MATRI_PSICOLOGIA_UAI","PCNTJE_PSICOLOGIA_UAI_MATRI","MATRI_PSICOLOGIA_COMPT1","PCNTJE_PSICOLOGIA_COMPT1_MATRI","MATRI_PSICOLOGIA_COMPT2","PCNTJE_PSICOLOGIA_COMPT2_MATRI","MATRI_PERIODISMO","PCNTJE_PERIODISMO_MATRI","MATRI_PERIODISMO_UAI","PCNTJE_PERIODISMO_UAI_MATRI","MATRI_PERIODISMO_COMPT1","PCNTJE_PERIODISMO_COMPT1_MATRI","MATRI_PERIODISMO_COMPT2","PCNTJE_PERIODISMO_COMPT2_MATRI","MATRI_COMPT1_FILTRADO","PCNTJE_COMPT1_MATRI_FILTRADO","MATRI_COMPT2_FILTRADO","PCNTJE_COMPT2_MATRI_FILTRADO","LATITUD","LONGITUD","locacion","cluster_carreras_general","cluster_vero_sf_post","cluster_vero_sf_matri","cluster_comercial_post_c5","cluster_civil_post_c2","cluster_derecho_post","cluster_derecho_matri","cluster_psicologia_post","cluster_psicologia_matri","cluster_periodismo_post","cluster_periodismo_matri","DIRECCION","COMUNA","PROVINCIA","NUMERO","REFERENCIA"
"ABRAHAM LINCOLN SCHOOL",67,15,31,"730,653225806452",40,0,0,2,"5",16,"40",0,"0",0,"0",10,"32,26",0,"0",5,9,8,7,2,11,"27,5",2,"5",1,"3,23",0,"0",0,"0",4,"10",0,0,2,"5",4,"10",9,"22,5",0,0,3,"7,5",4,"10",11,"27,5",0,"0",1,"2,5",4,"10",0,"0",0,0,0,"0",4,"10",1,"2,5",0,"0",1,"2,5",4,"10",7,"17,5",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",1,"3,23",0,0,0,"0",0,"0",3,"9,68",0,"0",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",-18.48123,-70.318787,"-18.48123,-70.318787",3,3,4,0,0,2,4,4,6,2,1,"SAN MARTIN","ARICA","ARICA",471,"SAN MARTIN 471   (ENTRE 18 DE SEPTIEMBRE Y 21 DE MAYO)"
"ACADEMIA HOSPICIO",12605,1,57,"689,34649122807",98,0,0,1,"1,02",50,"51,02",1,"2",1,"1,75",22,"38,6",1,"4,55",24,16,8,8,1,17,"17,35",5,"5,1",0,"0",0,"0",4,"4,08",1,"1,02",0,0,0,"0",2,"2,04",12,"12,24",0,0,2,"2,04",2,"2,04",26,"26,53",4,"4,08",3,"3,06",3,"3,06",1,"1,02",0,0,0,"0",2,"2,04",0,"0",0,"0",0,"0",2,"2,04",5,"5,1",1,"1,02",1,"1,75",0,"0",0,0,0,"0",0,"0",3,"5,26",0,0,0,"0",0,"0",4,"7,02",1,"1,75",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",-20.25905,-70.104156,"-20.25905,-70.104156",3,2,4,0,0,4,4,3,6,5,1,"AVENIDA LOS AROMOS","ALTO HOSPICIO","IQUIQUE",36,"PARCELA 36 POBLACION VILLA FREI"
"ALBERTO HURTADO CRUCHAGA",15600,6,28,"709,301785714286",49,0,0,0,"0",27,"55,1",0,"0",0,"0",13,"46,43",0,"0",15,4,5,4,0,29,"59,18",3,"6,12",6,"21,43",2,"7,14",0,"0",3,"6,12",0,0,2,"4,08",1,"2,04",18,"36,73",0,0,14,"28,57",1,"2,04",25,"51,02",0,"0",9,"18,37",1,"2,04",2,"4,08",0,0,0,"0",1,"2,04",0,"0",0,"0",0,"0",1,"2,04",25,"51,02",0,"0",0,"0",0,"0",0,0,0,"0",1,"3,57",3,"10,71",0,0,1,"3,57",1,"3,57",4,"14,29",0,"0",0,"0",1,"3,57",0,"0",0,0,0,"0",1,"3,57",0,"0",0,"0",0,"0",1,"3,57",1,"3,57",0,"0",-34.226139,-70.968079,"-34.226139,-70.968079",2,4,1,0,4,1,4,3,6,5,1,"SUBTENIENTE VALENZUELA","DOÃIHUE","CACHAPOAL",372,"CALLE CENTRAL QUE TIENE LLEGADA A LA PLAZA Y A LA IGLESIA DE DOÃIHUE"
"ALIANZA FRANCESA JEAN MERMOZ",2789,7,32,"788,3484375",54,0,0,6,"11,11",25,"46,3",3,"12",0,"0",15,"46,88",0,"0",1,3,2,14,12,32,"59,26",28,"51,85",7,"21,88",12,"37,5",3,"5,56",9,"16,67",0,0,2,"3,7",1,"1,85",11,"20,37",0,0,8,"14,81",1,"1,85",24,"44,44",3,"5,56",5,"9,26",13,"24,07",1,"1,85",0,0,0,"0",1,"1,85",6,"11,11",0,"0",3,"5,56",3,"5,56",18,"33,33",14,"25,93",0,"0",2,"6,25",0,0,0,"0",0,"0",2,"6,25",0,0,2,"6,25",0,"0",4,"12,5",0,"0",0,"0",3,"9,38",0,"0",0,0,0,"0",0,"0",1,"3,12",0,"0",1,"3,12",0,"0",3,"9,38",3,"9,38",NA,-34.984655," ENTRADA CENTRAL A CURICÃ"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",-34.984655",2,5,3,0,1,5,3,4,4,2,3,"AVENIDA ESPAÃA","CURICÃ","CURICÃ",777,"FRENTE A ESTADIO ESPAÃOL, ENTRADA CENTRAL A CURICÃ"
"ALLIANCE FRANCAISE DE VALPARAISO",1781,5,40,"816,34375",50,0,0,19,"38",22,"44",4,"18,18",9,"22,5",15,"37,5",2,"13,33",0,1,10,18,11,39,"78",22,"44",20,"50",8,"20",7,"14",5,"10",0,0,3,"6",25,"50",24,"48",0,0,21,"42",25,"50",29,"58",7,"14",13,"26",25,"50",3,"6",0,0,2,"4",25,"50",5,"10",0,"0",4,"8",25,"50",43,"86",0,"0",1,"2,5",1,"2,5",0,0,1,"2,5",8,"20",4,"10",0,0,4,"10",8,"20",7,"17,5",1,"2,5",5,"12,5",8,"20",0,"0",0,0,0,"0",8,"20",0,"0",0,"0",0,"0",8,"20",10,"25",0,"0",-32.957881,-71.54104,"-32.957881,-71.54104",2,1,2,0,3,6,1,1,7,1,6,"LAS PERDICES","VIÃA DEL MAR","VALPARAÃSO",450,"REÃACA"
"ALTOS DEL HUERTO",20324,13,17,"695,547058823529",28,0,0,2,"7,14",14,"50",0,"0",0,"0",8,"47,06",0,"0",8,4,2,3,0,17,"60,71",1,"3,57",4,"23,53",0,"0",1,"3,57",5,"17,86",0,0,1,"3,57",0,"0",11,"39,29",0,0,8,"28,57",0,"0",7,"25",1,"3,57",3,"10,71",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",12,"42,86",0,"0",0,"0",1,"5,88",0,0,0,"0",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",-33.131566,-70.802307,"-33.131566,-70.802307",3,4,4,0,0,1,4,3,6,5,1,"CALLE 4 ORIENTE","TILTIL","SANTIAGO NORTE",130,"HUERTOS FAMILIARES"
"AMAZING GRACE ENGLISH SCHOOL",12781,4,28,"722,253571428571",42,0,0,1,"2,38",23,"54,76",1,"4,35",0,"0",13,"46,43",0,"0",5,4,5,13,1,14,"33,33",6,"14,29",4,"14,29",1,"3,57",0,"0",3,"7,14",0,0,0,"0",2,"4,76",14,"33,33",0,0,5,"11,9",2,"4,76",8,"19,05",0,"0",2,"4,76",2,"4,76",0,"0",0,0,0,"0",2,"4,76",3,"7,14",0,"0",3,"7,14",2,"4,76",10,"23,81",0,"0",0,"0",0,"0",0,0,0,"0",1,"3,57",3,"10,71",0,0,1,"3,57",1,"3,57",2,"7,14",0,"0",0,"0",1,"3,57",0,"0",0,0,0,"0",1,"3,57",1,"3,57",0,"0",1,"3,57",1,"3,57",2,"7,14",0,"0",-29.906063,-71.2573495,"SECTOR PUERTA DEL MAR"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",-29.89899",3,3,4,0,0,2,4,4,6,2,3,"CRUZ MOLINO","LA SERENA","ELQUI",386,",SECTOR PUERTA DEL MAR"
"AMAZING GRACE ENGLISH SCHOOL - PEÑUELAS",20513,4,33,"787,995454545455",55,0,0,15,"27,27",36,"65,45",6,"16,67",2,"6,06",21,"63,64",0,"0",4,5,7,11,6,34,"61,82",12,"21,82",12,"36,36",2,"6,06",4,"7,27",11,"20",0,0,8,"14,55",5,"9,09",9,"16,36",0,0,4,"7,27",5,"9,09",21,"38,18",4,"7,27",3,"5,45",7,"12,73",3,"5,45",0,0,2,"3,64",5,"9,09",3,"5,45",0,"0",1,"1,82",6,"10,91",18,"32,73",3,"5,45",0,"0",1,"3,03",0,0,0,"0",1,"3,03",1,"3,03",0,0,0,"0",1,"3,03",5,"15,15",0,"0",2,"6,06",2,"6,06",0,"0",0,0,0,"0",1,"3,03",0,"0",0,"0",0,"0",1,"3,03",2,"6,06",1,"3,03",NA,NA,",",2,1,1,0,1,5,1,4,4,2,4,"","","",NA,""
"AMERICAN COLLEGE",14211,5,23,"667,530434782609",38,0,0,3,"7,89",22,"57,89",1,"4,55",0,"0",13,"56,52",0,"0",8,6,3,4,2,25,"65,79",11,"28,95",8,"34,78",2,"8,7",1,"2,63",2,"5,26",0,0,1,"2,63",15,"39,47",11,"28,95",0,0,11,"28,95",15,"39,47",5,"13,16",0,"0",1,"2,63",15,"39,47",6,"15,79",0,0,3,"7,89",15,"39,47",5,"13,16",1,"2,63",3,"7,89",15,"39,47",19,"50",0,"0",0,"0",2,"8,7",0,0,1,"4,35",2,"8,7",1,"4,35",0,0,1,"4,35",2,"8,7",1,"4,35",0,"0",0,"0",2,"8,7",0,"0",0,0,0,"0",2,"8,7",2,"8,7",0,"0",1,"4,35",2,"8,7",3,"13,04",0,"0",-33.045471,-71.38549,"-33.045471,-71.38549",3,4,1,0,0,7,2,1,7,3,3,"SAN JORGE","VILLA ALEMANA","VALPARAÃSO",58,"PARADA 9 EN VILLA ALEMANA."
"AMERICAN JUNIOR COLLEGE",17876,8,54,"714,023148148148",88,0,0,0,"0",39,"44,32",0,"0",0,"0",23,"42,59",0,"0",17,4,21,10,2,5,"5,68",10,"11,36",0,"0",2,"3,7",0,"0",2,"2,27",0,0,0,"0",0,"0",39,"44,32",0,0,0,"0",0,"0",11,"12,5",0,"0",0,"0",2,"2,27",16,"18,18",0,0,0,"0",0,"0",5,"5,68",0,"0",0,"0",1,"1,14",0,"0",3,"3,41",0,"0",1,"1,85",0,0,0,"0",0,"0",6,"11,11",0,0,0,"0",0,"0",3,"5,56",0,"0",0,"0",0,"0",2,"3,7",0,0,0,"0",0,"0",1,"1,85",0,"0",0,"0",0,"0",0,"0",0,"0",-36.979118,-73.165039,"-36.979118,-73.165039",3,3,4,0,0,2,4,3,6,5,1,"AVENIDA CERRO SAN FRANCISCO","CORONEL","CONCEPCIÃN",207,"PARQUE INDUSTRIAL. ENTRADA SECTOR PARQUE INDUSTRIAL CAMINO A EMPRESA POLPAICO.  A 200 METROS ESTACIÃN LOS CANELOS DEL BIOTRÃN."
